1/15問、どっち派？,1,犬,猫,dog,cat
2/15問、朝のアラームは何回セットする？,1,2回以上,1回,someclocks,aclock
3/15問、ドラマに出演することになったどちらが良い？,1,主人公の相棒,主人公の宿敵,partner,villain
4/15問、他人に紹介したいのはどっち？,1,お洒落、センスの良い人,面白い、優秀な人,fashion,funny
5/15問、あなたの最も印象に残っている場面、その時の人数は？,1,5人以上,４人以下,crowd,alone
6/15問、友人が奇抜な服装をしてきた！,1,いじりたくなる,個性だと認識する,kidding,convince
7/15問、海外映画(英語ではない言語)をどちらで見る？,1,日本語字幕,日本語吹き替え,sub,dub
8/15問、努力は報われると思う?,1,思う,思わない,success,failure
9/15問、いつからが大人だと思う？,1,学生ではなくなった時,20歳から,graduate,alcohol
10/15問、どっちが好き？,1,昼,夜,noonsky,nightsky
11/15問、安定という言葉を聞いた時、どっちのイメージを持つ？,1,退屈,安心,bored,stable
12/15問、どちらを押しますか？,1,今世をより良くするボタン,来世をより良くするボタン,recently,future
13/15問、男女の友情は成立する？,1,成立しない,成立する,breakup,bothFriends
14/15問、朝着替えるときどちらを先に考える？,1,どのように見られるか,今日の気候,seen,climate
15/15問、目の前で二人が溺れている。どちらを助けますか？,1,これからを誓った婚約者,今までを支えてくれた親友,lovers,friends
